LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, Canal_Distance, Canal_Distance_STD, Canal_Distance_CX, Canal_Distance_CY, Canal_Distance_CZ, Canal_Distance_GRAD_X, Canal_Distance_GRAD_Y, Canal_Distance_GRAD_Z, Canal_Distance_ANGLE, Canal_Region, Canal_Region_STD, Density_CNT, Density_CX, Density_CY, Density_CZ
1, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1170.092529481213,739.837553024999,716.4886588278902,21.68348559204041,23.29206838667157,166.42138146949378,133.0,158.0,598.0,-0.11033457453628609,0.09737680819602693,0.98911275337418,168.2423448504026,0.18010350475936382,0.9806718580139396,-0.07645544109402283,16.77445110251319,-0.9774400284596958,0.16970699492078117,-0.12573991665206197,11.040896558341668,618.1027861614643,132.93530372987482,88.6853499949982,148.7529122100452,81.12546650957545,582744.0,7287069.602273358, 0.30460534788630866, -0.7065942976694259,-1.8340372741768078,72.96366383277712, 60.30097778784509,60.30097778784509,18.81411964775461, 127.0, 0.0, 1170.092529481213, 739.837553024999, 716.4886588278902, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 630547.0, 1170.249017123228, 739.8408492943429, 715.6845595966677
2, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1247.1996726677578,714.4760346036942,415.5889642272621,6.208961211967193,4.007031274755207,9.780516281880374,40.0,29.0,36.0,-0.4573723335321638,-0.20427033850463128,0.8654964918048752,10.913383328947457,-0.6733811469820922,-0.5561352038611246,-0.48710518978494566,5.186667739121982,-0.580834209915726,0.805597457688112,-0.11680906111267927,2.064591918057779,53.89788283684106,28.258061984362712,10.87636480255776,11.012078642460393,5.385176104917547,4277.0,16565.244302214745, 0.2892577136772161, 0.7740468995215224,0.845907294032429,74.6392125442722, 15.77788169277531,15.77788169277531,24.697567406014713, 127.0, 0.0, 1247.1996726677578, 714.4760346036942, 415.5889642272621, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 7275.0, 1250.009209621993, 718.1586254295532, 417.17388316151204
3, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1288.8928833455614,723.1449009537785,424.8776595744681,4.3711990904356215,5.9114511442359605,10.94189783347133,19.0,32.0,53.0,-0.3019573592356117,0.03902330223781652,0.9525224066056988,11.438169261311707,-0.2949066677895838,0.9463287192350616,-0.13225737198421766,6.185503385825802,-0.9065604284859888,-0.3208412957107979,-0.2742426889999374,2.1646237849935877,52.99595821336652,34.79814704188283,11.101020272855521,11.902323992151997,5.66678461765412,5452.0,20472.070274088706, 0.1830481295332902, 1.6397544428405126,-1.1369347483246202,73.70305644940296, 16.22065297138665,16.22065297138665,26.82326998397205, 127.0, 0.0, 1288.8928833455614, 723.1449009537785, 424.8776595744681, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 10008.0, 1287.3698041566747, 730.4293565147882, 426.15267785771385
4, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1032.1787946986747,829.0955238809703,409.2433108277069,7.244025774731054,2.5626196019256415,6.4804369958417505,35.0,16.0,25.0,-0.9624726185831453,-0.10874858867718547,0.2486366886411273,7.365539283783106,-0.22345074185101887,-0.20234770722081524,-0.9534805563558749,6.508722655173321,0.15400072871234674,-0.9732569803721933,0.17045417481794484,2.1034145486083355,34.93065971831027,30.00417141806213,10.007017987623385,9.38679798877196,3.5954159459237416,3999.0,10488.010330062862, 0.8485562242981359, 0.47865220871756264,1.3175860506153185,82.68403124727564, 12.936984246061515,12.936984246061515,22.854575316787876, 127.0, 0.0, 1032.1787946986747, 829.0955238809703, 409.2433108277069, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 4567.0, 1033.6056492226844, 829.372016641121, 409.6505364571929
5, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1283.5654271927335,841.5271075787681,413.2265114958842,8.789713316433613,2.4835628374102443,6.400824080901028,43.0,13.0,33.0,-0.9047536244988257,-0.0064527863562061465,0.4258864173749599,9.356910750477997,-0.4186476468715781,0.19764332023045642,-0.8863809935559153,5.63206115291119,0.07845397838942315,0.9802527630751792,0.18151995416027827,2.2640233754438213,43.91553406880735,34.476952598984894,11.473829240725877,10.068335946573935,4.798573197735487,3523.0,17372.22408357941, -5.278930665292592, 0.2405290016275785,1.1519905211112018,22.167958065213703, 20.476014760147603,20.476014760147603,29.857446925103808, 127.0, 0.0, 1283.5654271927335, 841.5271075787681, 413.2265114958842, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 7980.0, 1278.7696741854636, 841.4824561403509, 418.6201754385965
6, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1145.043535869771,782.5441983721371,427.42494794624264,5.7719613568171795,2.4947580736297446,10.658669203960203,33.0,13.0,47.0,-0.18202239035004056,-0.0283379032407192,0.9828859611629301,10.792361354572044,-0.951574463142105,-0.24676527021530067,-0.1833383279933147,5.677126806206231,-0.2477375435961854,0.9686608615276503,-0.01795117927710241,2.107546575659899,48.67528286217117,35.72459488614959,11.1760141981797,11.325170420014844,4.988697215466315,5283.0,19434.024300674824, -0.9071698580653447, -0.07888430441130367,-0.8963761444031775,75.73103414666465, 14.488737459776642,14.488737459776642,24.030314314095722, 127.0, 0.0, 1145.043535869771, 782.5441983721371, 427.42494794624264, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 7072.0, 1139.460407239819, 783.3359728506788, 425.9906674208145
7, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1064.9531531531532,788.4222972972973,423.9921171171171,3.3808634703834373,3.33684024648067,9.162063431816339,15.0,16.0,39.0,0.020548974272878894,0.025697125581483238,0.999458552113684,9.166357766353945,-0.9510276129441475,-0.3078829667915796,0.027469222365618176,3.3817707936754786,-0.30842214426673276,0.9510771453969781,-0.018111996837626203,3.324102670312507,39.235811157287,16.02476382663758,16.686378862307606,9.492155139564385,4.050572523850609,4440.0,10491.47072574271, -0.1554220577088472, -0.029783966588297517,-0.16173025815425035,78.62092052176712, 12.586936936936937,12.586936936936937,21.55703958066853, 127.0, 0.0, 1064.9531531531532, 788.4222972972973, 423.9921171171171, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 8084.0, 1074.3488372093022, 783.9365413161801, 420.63879267689265
8, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1164.8810063930707,742.0074242111775,437.4035883687358,3.324057576621679,3.962489950685032,12.052483509494056,15.0,18.0,52.0,0.10522598542600992,0.1643561796217535,0.9807724191734121,12.261546531233884,-0.6224486033414814,-0.7582737745706536,0.19385205440390138,4.128374950796689,-0.7755547873550678,0.6308786959618433,-0.022513169304204977,2.150358355396328,53.6037958650345,20.03698373620591,9.826350187526543,11.739269841073767,5.848297848695487,4849.0,10554.07382216081, 0.13265107322285985, 0.3256653334675548,-0.3082404928772462,85.20092644662985, 12.970921839554547,12.970921839554547,22.544001108326732, 127.0, 0.0, 1164.8810063930707, 742.0074242111775, 437.4035883687358, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 5143.0, 1164.892475209022, 742.0596927863115, 437.39004472098
9, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1008.6477037649979,861.3740173769136,433.0424079437319,3.368274171754579,3.5194881696227966,10.628961636973326,16.0,16.0,53.0,-0.10271235076937804,0.02751825999518973,0.9943303869269338,10.682880281158262,0.6126911081950595,-0.785734456935847,0.08503510523566336,3.9511489059914706,-0.7836196647214377,-0.6179515422349614,-0.06384443994032887,2.6403379657909185,53.68631887325358,18.968239941907058,13.428998064830012,10.523690767564595,5.094980469162878,4834.0,13675.218448717433, -0.24244811345124617, -0.057071753071340936,2.2042929300242236,41.31220670994265, 12.619155978485725,12.619155978485725,22.273081663029373, 127.0, 0.0, 1008.6477037649979, 861.3740173769136, 433.0424079437319, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 7692.0, 1010.0747529901196, 866.6527561102444, 443.52769110764433
10, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1067.3708238223699,869.139863042125,439.60302967420625,4.672826299968615,2.2534809627306855,12.000601732913864,24.0,13.0,57.0,0.16646328845202285,-0.014192588932764944,0.9859455076306829,12.150341838715319,0.9853246914217961,0.040676602602899646,-0.16577293649817537,4.274292383915307,0.037752166458111545,-0.9990715612107426,-0.020755469342987786,2.2422180648302144,57.58737059829605,20.888955131391526,12.557785819968444,11.6913144333663,5.851588745908591,4819.0,15106.262881338123, -0.3091643628347356, -0.35232648167595926,-0.594507066204244,82.24151194175708, 14.82818012035692,14.82818012035692,23.687053774713704, 127.0, 0.0, 1067.3708238223699, 869.139863042125, 439.60302967420625, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 8445.0, 1061.0387211367672, 872.1142687981054, 440.8994671403197
