BMD,MECHANICS_STIFFNESS,CORT_DTO__C_TH,CORT_DTO__C_TH_SD,CORT_MOM__J,CT_TH_RAD,CT_TH_RAD_STD,CANAL_VOLUME,CANAL_COUNT,CANAL_DENSITY,CANAL_FRACTION,CANAL_PRIMARY,CANAL_THETA_Z,LACUNA_COUNT,LACUNA_VOLUME,LACUNA_DENSITY,LACUNA_FRACTION,LACUNA_ANISOTROPY,LACUNA_OBLATENESS,LACUNA_PRIMARY,LACUNA_PRIMARY_Z,LACUNA_SECONDARY,DISTRIBUTION_AISO,DISTRIBUTION_OBLATENESS,CANAL_VOLUME_CV,CANAL_THETA,CANAL_THETA_CV,CANAL_PCA1,CANAL_PCA1_CV,CANAL_PCA2,CANAL_PCA2_CV,CANAL_PCA3,CANAL_PCA3_CV,FEMALE,ID
0.0295019,0.0,0.162501,0.014052,0.128305,75.994290225,20.1349902821,15508.0150911,160.0,237.217505169,0.00367877265003,0.625666868143,38.1224316128,22101.0,307.023837429,32200.211065,0.00988623236719,0.706846353154,-0.294553848878,0.85294999143,0.998092110025,0.510324373649,0.200091961364,0.775662805077,1.42482343962,42.6157370776,0.587324805612,238.488242905,1.08650949359,62.8797804886,1.09256068591,25.8527055856,0.535735162687,1,456
0.0311451,49.288578768,0.178971,0.020928,0.114639,75.0828728778,8.53647219635,21015.8099412,161.0,222.276394702,0.00467131846548,0.680423497945,42.6341839577,27007.0,277.888839779,37690.5242228,0.0104737760469,0.700951876691,-0.324591991804,0.909837550236,0.997444301156,0.677422233414,0.241285694841,0.696518020862,0.969507275902,46.3160695989,0.455932930587,252.085300963,0.60284862873,60.6667442291,0.661029492212,28.734300312,0.541195673737,1,457
0.0293992,58.172807979,0.158907,0.018856,0.130201,66.4861025007,11.3219481359,36732.2819732,104.0,154.071450079,0.00565939594832,0.789400026986,49.509202109,25401.0,297.075469413,38015.0953987,0.0112933523104,0.694092980126,-0.310462278064,0.881078046089,0.998037133979,0.606421458595,0.249777376666,0.46009415008,1.51938557862,54.9410473564,0.419281034855,304.434905177,1.47663425114,73.6941434207,1.21145427984,32.6393280641,0.534039982881,0,459
0.0316586,61.496284707,0.162435,0.019928,0.156875,84.581756682,18.9956260497,36449.4891692,151.0,218.890218594,0.0079784366519,0.750638070402,50.6090210807,22350.0,264.934253724,28552.8973888,0.00756464056138,0.676655464974,-0.348348418876,0.825917934545,0.999026948539,0.468884896578,0.173511105989,0.57541366811,1.85723541141,55.787534781,0.398030413495,176.769172867,1.01060961249,58.225800068,0.734096021444,28.6338438859,0.574131330908,1,470
0.0345342,56.62613385,0.185258,0.028595,0.146598,89.1934047155,20.95475422,40210.3873175,234.0,259.293586899,0.0104262955582,0.715145436496,47.0284433737,29043.0,268.580441641,34409.5241184,0.00924172518438,0.670762922014,-0.344546356841,0.813184478384,0.994753721013,0.452069969961,0.1923168976,0.447717136518,2.05747209222,52.0860254762,0.443238838726,213.869310187,0.845339411399,73.4401799701,0.789467454172,32.003455395,0.609624019673,1,472
0.0338153,63.661631319,0.176769,0.018597,0.138249,86.7864735295,15.6518123463,47677.945613,307.0,335.562166027,0.0159989147016,0.720842395026,46.4582217253,33046.0,282.450779157,38545.7554063,0.0108872786477,0.680875029691,-0.313527877197,0.844056955315,0.995021197091,0.496210534474,0.233429167304,0.2901111483,1.41016903376,51.3145197942,0.443644732306,223.430989699,1.11676123522,71.2352788623,0.874082905776,30.906241494,0.674873381314,1,473
0.0353558,0.0,0.198588,0.025531,0.13808,96.6220310559,21.4478067275,54425.4112518,281.0,266.935938286,0.0145280982191,0.636403488393,42.163496384,37804.0,280.686868887,40359.6021635,0.0113284103608,0.669913952637,-0.350025168551,0.808669218354,0.998444225101,0.468367895856,0.358685919385,0.722093031982,1.71714047027,46.4062037793,0.492642650383,270.286314234,0.92449275593,89.7371616223,0.910350856923,38.7217478841,0.851566104068,1,474
0.0350477,71.634866589,0.176247,0.016781,0.185191,79.3211826899,7.93447896902,59840.935754,310.0,320.977233188,0.0192075779897,0.758859711335,48.3237770992,38749.0,322.826493839,43812.8588313,0.0141439516015,0.676093489016,-0.282236490849,0.807391830246,0.999475269828,0.4202032829,0.504017257571,0.585491158917,2.38625462087,52.9248872201,0.405426322968,212.024720488,1.01952754186,69.2068231229,0.944141767184,35.6303449796,0.754252693883,0,478
0.0354585,77.453536446,0.192419,0.019784,0.186355,78.3998728107,11.3636699377,59828.2753633,284.0,291.984592871,0.0174689346242,0.600544652725,41.9146435734,53685.0,299.805208465,61505.3383788,0.0184396207944,0.667711720837,-0.33910098201,0.813262431993,0.999425513757,0.479598687306,0.687135723463,0.834761128996,1.70792768338,46.7453942934,0.517548976085,232.274057398,0.749099704334,76.1047030491,0.74375905398,38.0414164978,0.733109859209,1,479
0.0345342,56.05323867,0.184673,0.021032,0.128061,82.6324235402,16.4075312651,45111.8692422,204.0,216.654251212,0.00977367825145,0.47317071439,37.3015142018,23636.0,288.529229546,28295.5851303,0.00816410337719,0.677684910582,-0.267227526901,0.674501235371,0.836827130288,0.595462921508,0.175933337509,-0.100184533482,1.07075901733,41.7484751125,0.600757349624,218.15837917,0.798053657581,69.0363643028,0.750104610325,31.4161627768,0.586334261684,1,480
